Area,Activity,Sex ,Age,Injury,Fatal(Y/N),Time,Species 
South Carolina,Swimming,F,18,Non_Fatal,N,Afternoon,small blacktip shark?
South Carolina,Swimming,M,16,Non_Fatal,N,Afternoon,Blacktip shark 
Victoria,Surfing,M,42,Non_Fatal,N,Morning,1.5 m shark
Sardinia,Attempting to rescue an injured & beached shark,M,57,Non_Fatal,N,Morning,"Blue shark, 2.5m"
New South Wales,Surf skiing ,M,30,Non_Fatal,N,Afternoon,"White shark, 2 m"
North Carolina,Wading,F,33,Non_Fatal,N,Afternoon,"18"" to 24"" shark"
Guerrero,Free diving / spearfishing,M,46,Non_Fatal,N,Morning,"Bull shark, 3m"
Florida,Surfing,M,22,Non_Fatal,N,Afternoon,4' to 5' shark
California,Kayaking / Fishing,M,30,Non_Fatal,N,Afternoon,White shark
California,Paddle boarding,F,15,Non_Fatal,N,Morning,White shark
Florida,Surfing,M,28,Non_Fatal,N,Evening,5' shark
Western Cape Province,Body boarding,M,20,FATAL,Y,Afternoon,"White shark, 4 m to 5m "
Hawaii,Surfing,M,28,Non_Fatal,N,Afternoon,"Tiger shark, 10'  "
Western Australia,Scuba diving,M,33,FATAL,Y,Morning,"White shark, 4m "
Queensland,Surfing,M,20,Non_Fatal,N,Evening,Possibly a bull shark
Florida,Surfing,M,61,Non_Fatal,N,Afternoon,Possibly a 5' to 6' bull shark
Florida,Surfing,F,15,Non_Fatal,N,Afternoon,4' to 5' shark
Florida,Surfing,M,17,Non_Fatal,N,Afternoon,4' to 5' shark
Victoria,"Diving, feeding sharks",F,34,Non_Fatal,N,Morning,"Tawny nurse shark, 40cm"
Florida,Kite Surfing,M,19,Non_Fatal,N,Afternoon,4' shark
Western Australia,Snorkeling,M,26,Non_Fatal,N,Afternoon,"Tiger shark, 3m"
New South Wales,Surfing,M,44,Non_Fatal,N,Afternoon,"White shark, 2.7 m"
Eastern Cape Province,Swimming,M,25,FATAL,Y,Afternoon,Thought to involve a bull shark
New South Wales,Surfing,M,28,Non_Fatal,N,Evening,2 m shark
Queensland,Spearfishing,M,34,Non_Fatal,N,Morning,Allegedly a 4 m tiger shark
New South Wales,Surfing,M,51,Non_Fatal,N,Morning,"White shark, 2.5m"
Queensland,Swimming,M,10,Non_Fatal,N,Afternoon,Wobbegong shark?
Western Australia,Diving,M,32,FATAL,Y,Afternoon,"White shark, 10'"
Victoria,Diving,M,50,Non_Fatal,N,Afternoon,"Port Jackson shark, 1m"
Western Cape Province,Swimming,M,43,Non_Fatal,N,Afternoon,White shark
Florida,Spearfishing,M,21,Non_Fatal,N,Afternoon,"Bull shark, 6'"
Florida,Surfing,M,25,Non_Fatal,N,Morning,4' to 6' shark
Central Province,Kite Surfing,M,30,Non_Fatal,N,Afternoon,"Tiger shark, 2m"
Western Australia,Body boarding,M,21,FATAL,Y,Afternoon,White shark
Florida,Surfing,M,19,Non_Fatal,N,Morning,"6' shark, possibly a blactip or spinner shark"
Florida,Surfing,M,19,Non_Fatal,N,Morning,6' shark
Western Cape Province,Surfing,M,49,FATAL,Y,Morning,"White shark, >6'"
North Carolina,Wading,F,20,Non_Fatal,N,Evening,Possibly a 5' to 6' sandtiger shark
"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Swimming,M,25,Non_Fatal,N,Evening,4 m shark
Society Islands,Surfing,M,32,Non_Fatal,N,Afternoon,Grey reef shark 
Praslin,Swimming or Snorkeling,M,30,FATAL,Y,Afternoon,"Bull shark, 6'"
Eastern Cape Province,Surfing,M,29,Non_Fatal,N,Morning,"White shark, 3m to 4m"
KwaZulu-Natal,Scuba diving,M,22,Non_Fatal,N,Afternoon,"Bull shark, 3m female"
North Carolina,Playing in the surf,F,10,Non_Fatal,N,Afternoon,"Bull shark, 6'"
Florida,Scuba diving,M,28,Non_Fatal,N,Afternoon,"Blacktip shark, 4'"
Florida,Wading,M,19,Non_Fatal,N,Afternoon,3' to 4' shark
KwaZulu-Natal,Spearfishing,M,28,FATAL,Y,Afternoon,Zambesi shark
North Province,Kite Boarding,M,15,FATAL,Y,Morning," Tiger shark, 2.8m"
Western Australia,Washing sand off a speared fish,M,17,Non_Fatal,N,Afternoon,"reef shark, 1.5m"
Florida,Surfing ,M,49,Non_Fatal,N,Afternoon,1' to 2' shark
South Island,Surfing,M,41,Non_Fatal,N,Afternoon,possibly a bronze whaler shark
New South Wales,Surfing,M,48,Non_Fatal,N,Evening,"Bull shark, 2.5m"
New South Wales,Wakeboarding,F,24,Non_Fatal,N,Afternoon,3 m to 4 m shark
Queensland,Fishing,M,36,Non_Fatal,N,Morning,"Bull shark, 2m"
 Loyalty Islands,Spearfishing,M,21,Non_Fatal,N,Afternoon,1.5 m shark
South Australia,Diving for abalone,M,49,FATAL,Y,Evening,White shark x 2
Quintana Roo,Swimming,F,38,Non_Fatal,N,Afternoon,6' shark
West End,Scuba diving,M,55,Non_Fatal,N,Afternoon,Caribbean reef shark
Hawaii,Body boarding,M,16,Non_Fatal,N,Afternoon,6' shark
South Sinai Peninsula,Snorkeling,F,70,FATAL,Y,Afternoon,"Oceanic whitetip shark, 2.5m "
South Sinai Peninsula,Snorkeling,M,54,Non_Fatal,N,Morning,Mako shark 
South Sinai Peninsula,Snorkeling,M,46,Non_Fatal,N,Morning,Mako shark
South Sinai Peninsula,Snorkeling,F,70,Non_Fatal,N,Afternoon,"Oceanic whitetip shark, 2.5m, female"
South Sinai Peninsula,Snorkeling,F,48,Non_Fatal,N,Afternoon,"Oceanic whitetip shark, 2.5m, female"
Western Australia,Snorkeling,F,20,Non_Fatal,N,Afternoon,White shark
Maine,Scuba diving,M,30,Non_Fatal,N,Afternoon,"Porbeagle shark, 8' "
California,Body boarding,M,19,FATAL,Y,Morning,"White shark, 14' to 18' "
New South Wales,Surfing,M,22,Non_Fatal,N,Afternoon,"Bull shark, 1.4m "
Oregon,Surfing,M,29,Non_Fatal,N,Afternoon,White shark
New South Wales,Surfing,M,15,Non_Fatal,N,Evening,2m shark
Western Australia,Surfing,M,31,FATAL,Y,Morning,White shark
Florida,Standing,F,37,Non_Fatal,N,Morning,3' to 4' shark
South Carolina,Swimming,M,10,Non_Fatal,N,Morning,Possibly a small blacktip shark
North Carolina,Swimming,F,13,Non_Fatal,N,Afternoon,"Sandtiger shark, 4' to 5'"
Grand Canary Island,Swimming,M,9,Non_Fatal,N,Evening,Angel shark
New York,Fishing,M,20,Non_Fatal,N,Afternoon,"Blue shark, 7'"
California,Surfing,M,19,Non_Fatal,N,Evening,4' shark
California,Stand-Up Paddleboarding,M,48,Non_Fatal,N,Afternoon,8' shark
Binh Dinh Province,Swimming,M,17,Non_Fatal,N,Evening,1 m shark
Florida,Boogie Boarding,F,18,Non_Fatal,N,Afternoon,4' shark
Florida,Fishing,M,49,Non_Fatal,N,Morning,"Lemon shark, 4'"
